File extension,Name
.py,dot pie
.talon,dot talon
.md,dot mark down
.md,dot MD
.sh,dot shell
.vim,dot vim
.c,dot see
.cs,dot see sharp
.css,dot see es es
.com,dot com
.net,dot net
.org,dot org
.exe,dot exe
.bin,dot bin
.bin,dot bend
.json,dot jason
.json,dot jay son
.js,dot J S
.js,dot java script
.ts,dot TS
.ts,dot tee ess
.ts,dot type script
.tsx,dot TSX
.tsx,dot tee ess ex
.csv,dot csv
.csv,totssv
.csv,tot csv
.csv,dot cassie
.txt,dot text
.svg,dot civic
.svg,dot svg
.gif,dot gift
.png,dot ping
.go,dot go
.html,dot HTML
.frag,dot frag
.less,dot less
.java,dot java
.rs,dot rust
